	ace	asu	bma	bpa	bxy	cbg	cbn	cel	crem	csp1	dvi	gpa	hba	hco	loa	mha	nam	ovo	pmu	ppac	pred	psam_ds	psam_vv	rcul	sb347	ste	tmu	tox	tsp	wba
C07G3.3a	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C07G3.3b	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C07G3.4	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C07G3.5	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C07G3.6	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C09H5.3	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C09H5.4	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C09H5.5	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C09H5.6	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C09H5.9	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C12D8.12	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C13B7.2	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C13B7.5	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C14H10.4	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C17B7.1	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C17E7.11	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C18B10.7	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C24B9.1	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C24B9.8	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C27A7.7	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C31A11.9	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C31B8.6a	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C31E10.1	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C34D4.8	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C41G6.12	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C42D4.12	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C42D4.4	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C42D4.5	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C42D4.9	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C45H4.12	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C45H4.15	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C50B6.10	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C50B6.12	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C50C10.6	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C50C10.7	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C50H11.12	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C50H11.9	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C53B7.5	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C54F6.10	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C55A1.1	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C55A1.3	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
C55A1.5	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
E03H12.1	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F07B10.2	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F07B10.3	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F07C3.8	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F07C4.1	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F07G11.5a	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F07G11.5b	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F10A3.12	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F10A3.13	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F10A3.15	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F10A3.5	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F10A3.6	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F10A3.8	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F10A3.9	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F10D2.1	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F10D2.4	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F14F8.1	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F14H3.1	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F20E11.4	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F21F8.10	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F21F8.9	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F22B8.1	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F22B8.3	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F22B8.5a	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F22B8.5c	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F22F7.12	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F25E5.12	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F26D10.8	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F26D2.1	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F26D2.7	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F26G5.2	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F26G5.4	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F26G5.5	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F28H7.1	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F28H7.11	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F31F4.16	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F31F4.8	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F32A7.7	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F37B4.11	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F37B4.12	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F38H12.1	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F38H12.2	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F40F9.4	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F41B5.8a	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F44G3.1	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F44G3.11a	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F47G9.2	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F48G7.1	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F52D2.9	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F55B12.6	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F56A4.7	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F57A10.1	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F57A8.3a	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F57A8.3b	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F58G4.2	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F58G4.5	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F58G4.6	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F58G4.7	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F59A1.14	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F59A1.3	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F59A1.4	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F59B1.1	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F59E11.13	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F59E11.14	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F59E11.15	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
F59E11.16	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
K02H11.2	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
K02H11.3	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
K02H11.7	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
K05D4.2	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
K05D4.9	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
K10C9.6	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
K10C9.8a	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
K10C9.8b	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
M01D1.1a	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
M01D1.1b	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
M7.13	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
R02C2.5	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
R03G8.5a	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
R03G8.5b	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
R05D8.2a	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
R05D8.2b	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
R05D8.2c	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
R08C7.7	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
R08H2.13	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
R08H2.2	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
R09B5.7a	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
R09B5.7b	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
R09E12.4	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
R10E8.5	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
R11D1.5	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
R11D1.6	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
R13D7.1	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
R13D7.3	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
T01G5.3	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
T01G5.5	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
T01G5.6	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
T01G6.3	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
T01G6.9	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
T02B11.5	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
T03D3.11	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
T03D3.12	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
T03D3.14	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
T03D3.2	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
T03D3.6	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
T03E6.1	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
T03E6.2	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
T03E6.4	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
T05E12.1	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
T06A1.2	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
T06C12.1	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
T06C12.11	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
T06C12.2	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
T06C12.3	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
T07C12.1	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
T08B6.3	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
T08B6.6	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
T08B6.7	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
T08G3.1	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
T08G3.2	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
T09F5.3	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
T10C6.1	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
T10C6.2	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
T10H4.2	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
T10H9.6a	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
T10H9.6b	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
T16A9.2	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
T18H9.4	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
T19H12.7	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
T20C4.1a	20	0	0	0	7	233	250	289	346	23	0	0	4	3	0	0	3	0	0	162	0	0	0	0	0	3	0	1	0	0
