Gene name,Conserved among nematodes,Conserved only in Caenorhabditis,Unique to C. elegans,"SET-25-dependent endo-siRNAs targets (Lev et al., 2017)","SET-32-dependent endo-siRNAs targets (Kalinava et al., 2018)"
WBGene00003233,1,NaN,NaN,NaN,NaN
WBGene00010929,1,NaN,NaN,NaN,NaN
WBGene00021239,NaN,1,NaN,NaN,NaN
WBGene00018204,NaN,NaN,1,NaN,NaN
WBGene00010898,1,NaN,NaN,NaN,NaN
WBGene00009304,1,NaN,NaN,NaN,NaN
WBGene00011868,1,NaN,NaN,NaN,NaN
WBGene00000117,1,NaN,NaN,NaN,NaN
WBGene00003100,1,NaN,NaN,NaN,NaN
WBGene00015368,NaN,1,NaN,NaN,NaN
WBGene00018393,1,NaN,NaN,NaN,NaN
WBGene00000397,1,NaN,NaN,NaN,NaN
WBGene00000914,1,NaN,NaN,NaN,NaN
WBGene00009510,NaN,1,NaN,NaN,NaN
WBGene00014099,NaN,1,NaN,NaN,NaN
WBGene00019578,NaN,1,NaN,NaN,NaN
WBGene00019723,NaN,NaN,1,NaN,NaN
WBGene00021040,NaN,NaN,1,NaN,NaN
WBGene00006832,1,NaN,NaN,NaN,NaN
WBGene00001520,1,NaN,NaN,NaN,NaN
WBGene00004130,1,NaN,NaN,NaN,NaN
WBGene00021797,NaN,1,NaN,NaN,NaN
WBGene00021244,NaN,1,NaN,NaN,NaN
WBGene00012486,NaN,1,NaN,NaN,1
WBGene00009453,1,NaN,NaN,NaN,NaN
WBGene00018690,NaN,1,NaN,NaN,NaN
WBGene00019138,1,NaN,NaN,NaN,NaN
WBGene00016396,NaN,1,NaN,NaN,NaN
WBGene00021271,1,NaN,NaN,NaN,NaN
WBGene00015853,NaN,NaN,1,NaN,NaN
WBGene00019535,NaN,1,NaN,NaN,NaN
WBGene00002040,1,NaN,NaN,NaN,NaN
WBGene00012387,NaN,1,NaN,NaN,NaN
WBGene00000190,1,NaN,NaN,NaN,NaN
WBGene00001942,1,NaN,NaN,NaN,NaN
WBGene00015128,1,NaN,NaN,NaN,NaN
WBGene00018241,1,NaN,NaN,NaN,NaN
WBGene00043994,1,NaN,NaN,NaN,NaN
WBGene00044495,NaN,1,NaN,NaN,NaN
WBGene00021075,1,NaN,NaN,NaN,NaN
WBGene00021927,1,NaN,NaN,NaN,NaN
WBGene00009468,NaN,1,NaN,NaN,NaN
WBGene00012299,NaN,1,NaN,NaN,NaN
WBGene00012405,NaN,1,NaN,NaN,1
WBGene00005324,NaN,NaN,1,NaN,NaN
WBGene00010185,NaN,1,NaN,NaN,NaN
WBGene00003654,1,NaN,NaN,NaN,NaN
WBGene00021308,NaN,NaN,1,NaN,NaN
WBGene00000161,1,NaN,NaN,NaN,NaN
WBGene00022016,NaN,1,NaN,NaN,NaN
WBGene00009571,NaN,1,NaN,NaN,NaN
WBGene00003387,1,NaN,NaN,NaN,NaN
WBGene00020408,NaN,NaN,1,NaN,NaN
WBGene00001249,1,NaN,NaN,NaN,NaN
WBGene00020179,NaN,1,NaN,NaN,NaN
WBGene00018455,NaN,NaN,1,NaN,NaN
WBGene00018536,NaN,NaN,1,NaN,NaN
WBGene00008945,NaN,NaN,1,NaN,1
WBGene00002031,1,NaN,NaN,NaN,NaN
WBGene00022076,1,NaN,NaN,NaN,NaN
WBGene00001548,1,NaN,NaN,NaN,1
WBGene00007065,1,NaN,NaN,NaN,NaN
WBGene00006539,NaN,1,NaN,NaN,NaN
WBGene00009962,1,NaN,NaN,NaN,NaN
WBGene00022375,1,NaN,NaN,NaN,NaN
WBGene00007489,NaN,1,NaN,NaN,NaN
WBGene00021503,1,NaN,NaN,NaN,NaN
WBGene00003735,1,NaN,NaN,NaN,NaN
WBGene00007943,NaN,1,NaN,NaN,NaN
WBGene00019546,1,NaN,NaN,NaN,NaN
WBGene00002048,1,NaN,NaN,NaN,NaN
WBGene00015344,1,NaN,NaN,NaN,NaN
WBGene00003632,1,NaN,NaN,NaN,NaN
WBGene00007242,1,NaN,NaN,NaN,NaN
WBGene00008760,1,NaN,NaN,NaN,NaN
WBGene00020693,1,NaN,NaN,NaN,NaN
WBGene00013499,1,NaN,NaN,NaN,NaN
WBGene00002163,1,NaN,NaN,NaN,NaN
WBGene00016059,1,NaN,NaN,NaN,NaN
WBGene00008728,1,NaN,NaN,NaN,NaN
WBGene00010768,1,NaN,NaN,NaN,NaN
WBGene00021333,1,NaN,NaN,NaN,NaN
WBGene00014077,1,NaN,NaN,NaN,NaN
WBGene00021188,NaN,NaN,1,NaN,NaN
WBGene00012969,NaN,1,NaN,NaN,NaN
WBGene00021834,1,NaN,NaN,NaN,NaN
WBGene00045292,NaN,1,NaN,NaN,NaN
WBGene00017298,1,NaN,NaN,NaN,NaN
WBGene00010250,NaN,1,NaN,NaN,NaN
WBGene00006819,1,NaN,NaN,NaN,NaN
WBGene00012623,NaN,1,NaN,NaN,1
WBGene00016866,1,NaN,NaN,NaN,NaN
WBGene00011888,1,NaN,NaN,NaN,NaN
WBGene00018242,NaN,NaN,1,NaN,NaN
WBGene00000864,NaN,NaN,1,NaN,1
WBGene00014021,1,NaN,NaN,NaN,NaN
WBGene00017419,1,NaN,NaN,NaN,1
WBGene00015063,NaN,1,NaN,NaN,NaN
WBGene00004857,1,NaN,NaN,NaN,NaN
WBGene00018771,1,NaN,NaN,NaN,NaN
WBGene00206507,NaN,NaN,1,NaN,NaN
WBGene00010780,1,NaN,NaN,NaN,NaN
WBGene00007838,NaN,1,NaN,NaN,NaN
WBGene00012610,1,NaN,NaN,NaN,NaN
WBGene00003931,1,NaN,NaN,NaN,NaN
WBGene00006067,1,NaN,NaN,NaN,NaN
WBGene00013149,1,NaN,NaN,NaN,NaN
WBGene00018033,1,NaN,NaN,NaN,NaN
WBGene00017441,NaN,1,NaN,NaN,NaN
WBGene00044681,NaN,1,NaN,NaN,NaN
WBGene00206529,NaN,1,NaN,NaN,NaN
WBGene00045036,1,NaN,NaN,NaN,NaN
WBGene00044620,1,NaN,NaN,NaN,NaN
WBGene00012190,1,NaN,NaN,NaN,NaN
WBGene00011650,1,NaN,NaN,NaN,NaN
WBGene00017101,NaN,1,NaN,NaN,NaN
WBGene00018013,1,NaN,NaN,NaN,NaN
WBGene00018815,NaN,1,NaN,NaN,NaN
WBGene00013882,1,NaN,NaN,NaN,NaN
WBGene00016512,NaN,1,NaN,NaN,NaN
WBGene00001946,1,NaN,NaN,NaN,NaN
WBGene00010704,NaN,1,NaN,NaN,NaN
WBGene00011924,NaN,1,NaN,NaN,NaN
WBGene00012606,1,NaN,NaN,NaN,NaN
WBGene00008799,1,NaN,NaN,NaN,NaN
WBGene00022465,NaN,1,NaN,NaN,NaN
WBGene00000216,1,NaN,NaN,NaN,NaN
WBGene00019540,1,NaN,NaN,NaN,1
WBGene00013485,1,NaN,NaN,NaN,NaN
WBGene00006407,1,NaN,NaN,NaN,NaN
WBGene00004193,1,NaN,NaN,NaN,NaN
WBGene00009686,1,NaN,NaN,NaN,NaN
WBGene00013711,1,NaN,NaN,NaN,NaN
WBGene00001854,1,NaN,NaN,NaN,NaN
WBGene00006080,1,NaN,NaN,NaN,NaN
WBGene00006805,1,NaN,NaN,NaN,NaN
WBGene00002233,1,NaN,NaN,NaN,NaN
WBGene00009166,NaN,NaN,1,NaN,NaN
WBGene00021848,1,NaN,NaN,NaN,NaN
WBGene00022180,1,NaN,NaN,NaN,NaN
WBGene00012699,1,NaN,NaN,NaN,NaN
WBGene00000056,1,NaN,NaN,NaN,NaN
WBGene00194747,1,NaN,NaN,NaN,NaN
WBGene00010262,NaN,1,NaN,NaN,NaN
WBGene00013364,NaN,NaN,NaN,NaN,NaN
WBGene00021301,NaN,NaN,1,NaN,NaN
WBGene00009243,NaN,1,NaN,NaN,NaN
WBGene00006756,1,NaN,NaN,NaN,NaN
WBGene00021931,1,NaN,NaN,NaN,NaN
WBGene00019434,1,NaN,NaN,NaN,NaN
WBGene00015670,1,NaN,NaN,NaN,NaN
WBGene00021430,1,NaN,NaN,NaN,NaN
WBGene00008239,1,NaN,NaN,NaN,NaN
WBGene00021020,1,NaN,NaN,NaN,NaN
WBGene00195072,NaN,1,NaN,NaN,NaN
WBGene00001633,1,NaN,NaN,NaN,NaN
WBGene00003578,1,NaN,NaN,NaN,NaN
WBGene00007132,NaN,1,NaN,NaN,NaN
WBGene00015391,1,NaN,NaN,NaN,NaN
WBGene00010507,NaN,1,NaN,NaN,NaN
WBGene00015429,NaN,1,NaN,NaN,1
WBGene00007365,NaN,1,NaN,NaN,NaN
WBGene00008447,1,NaN,NaN,NaN,NaN
WBGene00000899,1,NaN,NaN,NaN,NaN
WBGene00000527,1,NaN,NaN,NaN,NaN
WBGene00021215,1,NaN,NaN,NaN,NaN
WBGene00017659,1,NaN,NaN,NaN,NaN
WBGene00021116,1,NaN,NaN,NaN,NaN
WBGene00044530,1,NaN,NaN,NaN,NaN
WBGene00000832,1,NaN,NaN,NaN,NaN
WBGene00004356,1,NaN,NaN,NaN,NaN
WBGene00022237,NaN,1,NaN,NaN,NaN
WBGene00013804,1,NaN,NaN,NaN,NaN
WBGene00015547,NaN,1,NaN,NaN,NaN
WBGene00011028,1,NaN,NaN,NaN,NaN
WBGene00021950,NaN,1,NaN,NaN,NaN
WBGene00011475,NaN,1,NaN,NaN,NaN
WBGene00003936,1,NaN,NaN,NaN,NaN
WBGene00004316,1,NaN,NaN,NaN,NaN
WBGene00009945,1,NaN,NaN,NaN,NaN
WBGene00017854,NaN,1,NaN,NaN,NaN
WBGene00021679,NaN,1,NaN,NaN,NaN
WBGene00016435,1,NaN,NaN,NaN,1
WBGene00001119,1,NaN,NaN,NaN,NaN
WBGene00007309,NaN,NaN,1,NaN,1
WBGene00003890,NaN,1,NaN,NaN,NaN
WBGene00000301,1,NaN,NaN,NaN,NaN
WBGene00016611,1,NaN,NaN,NaN,NaN
WBGene00020837,1,NaN,NaN,NaN,NaN
WBGene00013260,1,NaN,NaN,NaN,NaN
WBGene00016825,NaN,1,NaN,NaN,NaN
WBGene00007523,NaN,1,NaN,NaN,NaN
WBGene00020591,NaN,1,NaN,NaN,NaN
WBGene00010199,1,NaN,NaN,NaN,NaN
WBGene00019522,1,NaN,NaN,NaN,NaN
WBGene00013895,1,NaN,NaN,NaN,NaN
WBGene00018330,1,NaN,NaN,NaN,NaN
WBGene00007218,NaN,NaN,1,NaN,1
WBGene00019302,NaN,NaN,1,NaN,1
WBGene00017736,1,NaN,NaN,NaN,NaN
WBGene00019094,1,NaN,NaN,NaN,NaN
WBGene00013029,1,NaN,NaN,NaN,1
WBGene00013409,NaN,NaN,1,NaN,NaN
WBGene00003704,1,NaN,NaN,NaN,NaN
WBGene00021014,NaN,1,NaN,NaN,NaN
WBGene00003550,NaN,1,NaN,NaN,NaN
WBGene00010045,1,NaN,NaN,NaN,NaN
WBGene00017892,1,NaN,NaN,NaN,NaN
WBGene00022215,NaN,1,NaN,NaN,1
WBGene00008583,1,NaN,NaN,NaN,NaN
